customer_id,cohort_month,order_month,cohort_index
2824,2021-03-01,2023-05-01,26
5012,2022-05-01,2022-05-01,0
2679,2021-10-01,2023-11-01,25
2424,2021-05-01,2021-11-01,6
1488,2021-03-01,2021-03-01,0
9279,2021-09-01,2023-12-01,27
4257,2022-07-01,2025-03-01,32
9928,2021-05-01,2021-05-01,0
5557,2021-11-01,2023-03-01,16
3615,2021-08-01,2022-07-01,11
5552,2020-10-01,2022-12-01,26
2674,2021-12-01,2023-01-01,13
6881,2020-08-01,2021-01-01,5
5333,2020-08-01,2024-10-01,50
8527,2020-02-01,2023-12-01,46
2291,2022-03-01,2022-03-01,0
6925,2020-08-01,2022-11-01,27
2139,2021-02-01,2024-05-01,39
5741,2021-05-01,2021-05-01,0
2654,2020-11-01,2020-11-01,0
6977,2024-03-01,2024-10-01,7
4432,2020-02-01,2024-09-01,55
2169,2020-03-01,2023-07-01,40
9751,2020-07-01,2022-04-01,21
8573,2023-08-01,2023-08-01,0
4598,2020-02-01,2024-11-01,57
4752,2025-01-01,2025-01-01,0
7572,2022-05-01,2022-05-01,0
6155,2024-07-01,2024-07-01,0
7482,2020-04-01,2020-04-01,0
8517,2022-04-01,2023-12-01,20
5040,2023-10-01,2023-10-01,0
5304,2022-11-01,2022-11-01,0
7543,2020-10-01,2025-03-01,53
9348,2021-06-01,2021-06-01,0
2796,2020-02-01,2020-02-01,0
7916,2020-11-01,2020-11-01,0
7252,2021-04-01,2021-04-01,0
9669,2020-07-01,2025-02-01,55
1188,2021-06-01,2021-06-01,0
9797,2022-10-01,2022-10-01,0
6573,2021-03-01,2021-03-01,0
3591,2021-09-01,2021-09-01,0
5315,2020-01-01,2020-01-01,0
9317,2020-06-01,2020-08-01,2
5889,2021-08-01,2021-08-01,0
4258,2022-03-01,2022-03-01,0
9837,2021-11-01,2024-05-01,30
1009,2021-09-01,2022-05-01,8
1319,2020-12-01,2020-12-01,0
6038,2022-05-01,2025-03-01,34
2290,2021-12-01,2022-12-01,12
2133,2020-03-01,2022-12-01,33
3060,2021-01-01,2021-01-01,0
3705,2021-11-01,2021-11-01,0
7932,2020-02-01,2020-09-01,7
4295,2025-02-01,2025-02-01,0
7118,2020-06-01,2020-06-01,0
8397,2020-07-01,2021-12-01,17
2049,2021-05-01,2023-07-01,26
4770,2021-08-01,2025-02-01,42
2163,2021-02-01,2023-12-01,34
4750,2020-06-01,2020-06-01,0
6413,2024-07-01,2024-07-01,0
5562,2021-03-01,2021-03-01,0
9834,2020-09-01,2020-09-01,0
8744,2021-12-01,2021-12-01,0
7669,2023-01-01,2023-06-01,5
8062,2021-09-01,2021-09-01,0
8651,2020-01-01,2020-01-01,0
2612,2021-03-01,2021-03-01,0
6559,2023-02-01,2023-02-01,0
5073,2020-07-01,2022-02-01,19
8350,2021-05-01,2025-02-01,45
5563,2021-05-01,2021-11-01,6
8260,2021-05-01,2024-11-01,42
2604,2021-08-01,2021-08-01,0
1241,2024-01-01,2024-01-01,0
3724,2021-09-01,2021-09-01,0
4502,2020-08-01,2023-10-01,38
3697,2020-09-01,2022-02-01,17
5345,2020-10-01,2020-10-01,0
5673,2021-12-01,2025-04-01,40
8973,2024-01-01,2024-08-01,7
4566,2020-05-01,2020-12-01,7
9883,2020-07-01,2020-07-01,0
1936,2022-04-01,2023-07-01,15
9238,2021-03-01,2021-03-01,0
3579,2020-07-01,2024-06-01,47
2312,2020-08-01,2021-04-01,8
2113,2020-02-01,2022-03-01,25
7615,2024-01-01,2024-01-01,0
5033,2020-02-01,2020-02-01,0
2343,2021-07-01,2021-07-01,0
9565,2023-03-01,2023-03-01,0
4346,2023-04-01,2023-04-01,0
4910,2023-07-01,2023-07-01,0
5915,2021-09-01,2021-09-01,0
1152,2021-09-01,2024-10-01,37
2638,2021-09-01,2021-09-01,0
9288,2024-04-01,2024-04-01,0
2127,2020-10-01,2020-10-01,0
5669,2020-08-01,2020-08-01,0
5956,2021-03-01,2024-09-01,42
9666,2020-08-01,2020-09-01,1
5905,2023-08-01,2023-08-01,0
3200,2021-01-01,2024-10-01,45
3546,2020-06-01,2020-06-01,0
4450,2021-02-01,2023-04-01,26
5325,2020-09-01,2021-08-01,11
1832,2022-01-01,2022-03-01,2
5533,2021-08-01,2021-08-01,0
3143,2022-05-01,2024-09-01,28
3647,2021-06-01,2022-12-01,18
8007,2022-02-01,2022-02-01,0
2232,2022-09-01,2022-09-01,0
3442,2022-03-01,2023-11-01,20
3426,2022-03-01,2022-03-01,0
6050,2020-02-01,2021-11-01,21
6862,2021-06-01,2021-06-01,0
2684,2021-10-01,2023-09-01,23
7658,2020-08-01,2025-03-01,55
3532,2021-08-01,2025-04-01,44
3662,2022-06-01,2022-06-01,0
7755,2023-05-01,2024-07-01,14
6442,2024-05-01,2024-12-01,7
5065,2024-01-01,2024-02-01,1
2771,2021-01-01,2024-08-01,43
8711,2022-02-01,2023-08-01,18
6728,2020-03-01,2020-03-01,0
4652,2020-09-01,2025-02-01,53
7528,2023-09-01,2024-01-01,4
5573,2020-11-01,2021-06-01,7
7548,2023-02-01,2023-04-01,2
6425,2023-02-01,2023-02-01,0
5279,2020-05-01,2023-01-01,32
1626,2021-09-01,2021-09-01,0
6663,2022-03-01,2022-03-01,0
8149,2022-01-01,2022-01-01,0
2894,2021-12-01,2025-02-01,38
4114,2022-04-01,2024-04-01,24
8144,2020-05-01,2022-01-01,20
4228,2022-10-01,2022-10-01,0
6409,2020-08-01,2021-12-01,16
3041,2022-10-01,2022-10-01,0
9308,2021-01-01,2023-05-01,28
6344,2024-10-01,2024-10-01,0
3085,2023-08-01,2023-08-01,0
7211,2021-06-01,2021-06-01,0
